iter	RMSE
0	30.91664556
1	29.71414765
2	28.65984466
3	27.64873289
4	26.78332715
5	25.97320217
6	25.24599483
7	24.5664881
8	23.94400788
9	23.369808
10	22.87507439
11	22.4357714
12	22.04055232
13	21.67161702
14	21.34417154
15	21.02539659
16	20.74704143
17	20.49729644
18	20.26018592
19	20.0523399
20	19.84094093
21	19.68319039
22	19.52939485
23	19.36438294
24	19.22618292
25	19.09739031
26	18.97376688
27	18.86785418
28	18.75105292
29	18.65134504
30	18.56285118
31	18.46304609
32	18.38947952
33	18.30841906
34	18.24557653
35	18.17978961
36	18.13232017
37	18.05387294
38	17.97468011
39	17.91581778
40	17.85366086
41	17.79431411
42	17.73562139
43	17.66714821
44	17.62387343
45	17.57464923
46	17.52213578
47	17.47094032
48	17.41155453
49	17.36272618
50	17.3082358
51	17.23111581
52	17.198323
53	17.14966829
54	17.11171191
55	17.05652758
56	16.99560879
57	16.94546246
58	16.88968775
59	16.85493396
60	16.8181431
61	16.76969328
62	16.70923985
63	16.67074085
64	16.61297379
65	16.57805411
66	16.52164697
67	16.48332933
68	16.45246427
69	16.40268366
70	16.35342569
71	16.30922784
72	16.2812295
73	16.23017453
74	16.17377832
75	16.12272245
76	16.08044702
77	16.04207258
78	15.99988228
79	15.94262033
80	15.90329416
81	15.86336428
82	15.81615179
83	15.78807563
84	15.75178922
85	15.71786081
86	15.68210605
87	15.64705715
88	15.60693994
89	15.56027976
90	15.51693191
91	15.48356841
92	15.43661443
93	15.39827896
94	15.35752577
95	15.32642389
96	15.3020758
97	15.25598251
98	15.216729
99	15.17564051
100	15.1550699
101	15.11731285
102	15.08964763
103	15.04431194
104	15.02250775
105	14.97891142
106	14.94355379
107	14.91733347
108	14.8820328
109	14.8421612
110	14.81602726
111	14.77760328
112	14.74841552
113	14.71456856
114	14.68177669
115	14.65264627
116	14.63378546
117	14.60556228
118	14.58070882
119	14.55800595
120	14.52150865
121	14.49716736
122	14.46031472
123	14.43138552
124	14.41242053
125	14.38525276
126	14.35623629
127	14.31783266
128	14.29456909
129	14.26676937
130	14.23187166
131	14.20378146
132	14.1866709
133	14.16353469
134	14.13566125
135	14.10757307
136	14.08541565
137	14.06074067
138	14.03527215
139	14.00766424
140	13.98188364
141	13.95660976
142	13.92283527
143	13.89343377
144	13.86391321
145	13.83495988
146	13.80278313
147	13.78449446
148	13.76192438
149	13.73971696
150	13.71973907
151	13.6969218
152	13.66297088
153	13.63403089
154	13.60869144
155	13.58191082
156	13.55520811
157	13.52317691
158	13.50393653
159	13.48453417
160	13.45721527
161	13.43381837
162	13.4137723
163	13.38464937
164	13.35893861
165	13.33030491
166	13.30636529
167	13.28422741
168	13.25529464
169	13.23546407
170	13.21397189
171	13.18868209
172	13.16623509
173	13.13676665
174	13.11086685
175	13.08928926
176	13.06511659
177	13.04054953
178	13.01824749
179	12.99013476
180	12.96554422
181	12.94361216
182	12.91783274
183	12.89261549
184	12.86793998
185	12.83672298
186	12.81066872
187	12.78555873
188	12.76306104
189	12.74326705
190	12.72201553
191	12.69869409
192	12.67718829
193	12.65504416
194	12.62772273
195	12.60675547
196	12.58257258
197	12.56446134
198	12.5429414
199	12.52957874
200	12.5112829
201	12.49209829
202	12.46856545
203	12.45018793
204	12.42045683
205	12.4040615
206	12.38081215
207	12.35966244
208	12.33895948
209	12.31807801
210	12.3021836
211	12.28426002
212	12.26763107
213	12.24796847
214	12.21674774
215	12.19533198
216	12.17272619
217	12.15126337
218	12.13490316
219	12.10479992
220	12.08872268
221	12.07399826
222	12.05619979
223	12.03633338
224	12.0168059
225	12.00519373
226	11.98418578
227	11.96773523
228	11.9461353
229	11.92709543
230	11.90961381
231	11.88771822
232	11.85914599
233	11.83764109
234	11.81474928
235	11.79056549
236	11.77794855
237	11.76193344
238	11.74418147
239	11.72399623
240	11.71016156
241	11.69621082
242	11.68260947
243	11.66691628
244	11.6521094
245	11.63344468
246	11.61690009
247	11.59819104
248	11.5854923
249	11.57333554
250	11.55810029
251	11.5402411
252	11.51408574
253	11.5026862
254	11.48562797
255	11.46740077
256	11.45160095
257	11.4260467
258	11.40633092
259	11.3901068
260	11.37833418
261	11.36371996
262	11.34781486
263	11.32790936
264	11.30631542
265	11.28317419
266	11.26971702
267	11.25485598
268	11.23522036
269	11.22443616
270	11.20994993
271	11.19785803
272	11.18605377
273	11.16372172
274	11.14876606
275	11.13638502
276	11.12215016
277	11.1020021
278	11.0891849
279	11.0719181
280	11.05437569
281	11.0395152
282	11.0255481
283	11.01405258
284	11.00136233
285	10.98630267
286	10.97011547
287	10.95235932
288	10.94060063
289	10.92754489
290	10.91479516
291	10.88921378
292	10.8773849
293	10.86419668
294	10.8444209
295	10.81938033
296	10.80824071
297	10.79529851
298	10.78471204
299	10.76793382
300	10.7574202
301	10.74906103
302	10.7376891
303	10.72214818
304	10.70975966
305	10.69335429
306	10.68242633
307	10.66664507
308	10.65029051
309	10.63556137
310	10.6255984
311	10.61574168
312	10.59917118
313	10.58887092
314	10.57456628
315	10.5650305
316	10.54432201
317	10.52661273
318	10.51591051
319	10.50639768
320	10.49362407
321	10.48136441
322	10.46467452
323	10.45075501
324	10.4376464
325	10.42721164
326	10.41207156
327	10.39855435
328	10.38566356
329	10.36527583
330	10.35207764
331	10.33999206
332	10.32934698
333	10.31881708
334	10.30714679
335	10.29298235
336	10.28379523
337	10.26870884
338	10.25807981
339	10.24344317
340	10.23054764
341	10.21861553
342	10.20801936
343	10.20011572
344	10.18916553
345	10.18164203
346	10.16089852
347	10.14940227
348	10.1424826
349	10.13076684
350	10.11824442
351	10.10666834
352	10.09131085
353	10.08201414
354	10.07172176
355	10.05789454
356	10.04216539
357	10.03153041
358	10.02555672
359	10.01411447
360	10.00208352
361	9.991615074
362	9.979877217
363	9.971129052
364	9.960918171
365	9.949514239
366	9.940125719
367	9.924272639
368	9.909926113
369	9.901400732
370	9.892803645
371	9.883322042
372	9.870062164
373	9.861771484
374	9.852495299
375	9.842301907
376	9.831267375
377	9.824841886
378	9.813272082
379	9.801861922
380	9.787577706
381	9.774986939
382	9.765826424
383	9.758964761
384	9.748569291
385	9.735510487
386	9.722699579
387	9.71366868
388	9.701565768
389	9.690529391
390	9.679718962
391	9.664646398
392	9.65804295
393	9.641767083
394	9.631417266
395	9.622712149
396	9.615359591
397	9.603990886
398	9.590156098
399	9.580944678
400	9.571447856
401	9.563082286
402	9.555857739
403	9.545618646
404	9.534645441
405	9.520336593
406	9.505495527
407	9.49375644
408	9.484801549
409	9.475779458
410	9.468208695
411	9.457129016
412	9.449734171
413	9.438241581
414	9.417407808
415	9.407016054
416	9.400720001
417	9.388613565
418	9.378058757
419	9.362746141
420	9.347255752
421	9.331572162
422	9.322860401
423	9.311518689
424	9.30064577
425	9.291487655
426	9.284496979
427	9.279524175
428	9.265951541
429	9.258228588
430	9.249010987
431	9.242860489
432	9.234771537
433	9.228203817
434	9.219875318
435	9.213302989
436	9.206725078
437	9.197551434
438	9.191117837
439	9.180189275
